time,open,high,low,close,tick_volume,spread
2025-01-08 07:00:00,1.03513,1.03558,1.03495,1.0355,1776,0.0
2025-01-08 08:00:00,1.03551,1.03576,1.03461,1.03515,2515,0.0
2025-01-08 09:00:00,1.03513,1.03517,1.03283,1.03324,8840,0.0
2025-01-08 10:00:00,1.03325,1.03398,1.0318,1.03188,10866,0.0
2025-01-08 11:00:00,1.03188,1.03264,1.03154,1.03196,8657,0.0
2025-01-08 12:00:00,1.03195,1.03214,1.03101,1.03191,7461,0.0
2025-01-08 13:00:00,1.03191,1.03198,1.02731,1.02977,20200,0.0
2025-01-08 14:00:00,1.02978,1.03003,1.02807,1.02827,12636,0.0
2025-01-08 15:00:00,1.02827,1.03044,1.02807,1.03035,35920,0.0
2025-01-08 16:00:00,1.03035,1.03077,1.02891,1.02915,14475,0.0
2025-01-08 17:00:00,1.02914,1.03101,1.02914,1.03016,13272,0.0
2025-01-08 18:00:00,1.03017,1.03146,1.02945,1.03125,10960,0.0
2025-01-08 19:00:00,1.03126,1.03134,1.02982,1.03054,7537,0.0
2025-01-08 20:00:00,1.03054,1.03159,1.03053,1.03126,6467,0.0
2025-01-08 21:00:00,1.03127,1.03243,1.03081,1.03091,7116,0.0
2025-01-08 22:00:00,1.03092,1.03168,1.0308,1.0316,3890,0.0
2025-01-08 23:00:00,1.0316,1.03194,1.03145,1.03183,1475,1e-05
2025-01-09 00:00:00,1.0318,1.03184,1.03133,1.03182,1129,3e-05
2025-01-09 01:00:00,1.03183,1.03189,1.03132,1.03133,1136,0.0
2025-01-09 02:00:00,1.03134,1.03148,1.03048,1.03131,2868,0.0
2025-01-09 03:00:00,1.0313,1.03175,1.03114,1.03144,2757,0.0
2025-01-09 04:00:00,1.03144,1.032,1.03141,1.03166,1985,0.0
2025-01-09 05:00:00,1.03165,1.03215,1.03108,1.0311,2158,0.0
2025-01-09 06:00:00,1.0311,1.03122,1.03055,1.03092,1845,0.0
2025-01-09 07:00:00,1.03091,1.03126,1.03053,1.03066,2690,0.0
2025-01-09 08:00:00,1.03067,1.03083,1.0297,1.03002,4662,0.0
2025-01-09 09:00:00,1.03004,1.03083,1.02877,1.0291,9862,0.0
2025-01-09 10:00:00,1.02909,1.03079,1.02835,1.03079,11299,0.0
2025-01-09 11:00:00,1.03078,1.03178,1.03031,1.03058,8793,0.0
2025-01-09 12:00:00,1.03058,1.03126,1.02996,1.0303,7698,0.0
2025-01-09 13:00:00,1.0303,1.03045,1.02969,1.03011,6601,0.0
